          English                   German                     French                   Spanish              Portuguese                        Arabic
         landmark              Wahrzeichen                     repère       punto de referencia                   marco                    معلم معروف
              lap                    Runde                       tour                    vuelta                    colo                           حجر
      large-scale              großflächig             grande échelle               Gran escala           grande escala                 على نطاق واسع
            laser                    laser                      laser                     láser                   laser                        الليزر
           latter                letzteres                    dernier                    último                  último                          أخير
         lawmaker              Gesetzgeber                législateur         él que hace leyes              legislador                        النائب
             lawn                    Rasen                    pelouse                    césped                   grama                         العشب
          lawsuit                  prozess                     procès          demanda judicial           ação judicial                   دعوى قضائية
           layout                   Layout                disposition                    diseño              disposição                           نسق
             leak                     Leck                      fuite                filtración                   vazar                         تسريب
             leap                   sprung                       saut                     salto                   salto                   طفرة - قفزه
           legacy              Vermächtnis                   héritage                    legado                  legado                         ميراث
        legendary                 legendär                 légendaire                legendario                lendário                        أسطوري
      legislation             gesetzgebung                législation               legislación              legislação                         تشريع
      legislative             gesetzgebung                 législatif               legislativo             legislativo                        تشريعي
      legislature              Legislative           corps législatif               legislatura             legislatura              السلطة التشريعية
       legitimate               rechtmäßig                   légitime                  legítimo                legítimo                          شرعي
          lengthy               langwierig                     longue                     largo                   longo                          طويل
          lesbian                 lesbisch                  lesbienne                  lesbiana                 lésbica                         مثلية
           lesser                  weniger                    moindre                     menor                   menor                           أقل
           lethal                  tödlich                     mortel                     letal                   letal                         قاتلة
           liable                  haftbar                responsable               responsable             responsável                        مسئولة
          liberal                  liberal                    libéral                   liberal                 liberal                      ليبرالية
       liberation                Befreiung                 libération                liberación              libertação                         تحرير
          liberty                 freiheit                    liberté                  libertad               liberdade                          حرية
         lifelong           lebenslänglich                      à vie         para toda la vida               vitalício                    مدى الحياة
       likelihood               likelihood                probabilité              probabilidad           probabilidade                       احتمالا
             limb               Gliedmaßen                     membre                   miembro                  membro                    فرع الشجره
           linear                   linear                   linéaire                    lineal                  linear                           خطي
           lineup              aufstellung                  s'aligner           póngase en fila                 alinhar                        اصطفوا
           linger                verweilen                 s'attarder                 persistir              permanecer                           بقي
          listing               Auflistung              référencement                   listado                listagem                         قائمة
            liter                    Liter                      litre                     litro                   litro                           لتر
         literacy         Alphabetisierung          l'alphabétisation                literatura           alfabetização        معرفة القراءة والكتابة
            liver                    Leber                       foie                    hígado                  fígado                           كبد
            lobby                    Lobby                       hall                 vestíbulo                   salão                          ردهة
              log                      log                    Journal            Iniciar sesión                registro                           سجل
            logic                    Logik                    logique                    lógica                  lógica                          منطق
    long-standing               langjährig             de longue date             de larga data           de longa data                    طويل الأمد
         longtime               langjährig               longue durée              largo tiempo             muito tempo                      وقت طويل
             loom                 Webstuhl            métier à tisser                     telar                    tear                 تلوح في الأفق
             loop                 Schleife                     boucle                   círculo                   ciclo                          عقدة
          loyalty                    Treue                    loyauté                   lealtad                lealdade                          وفاء
        machinery            Maschinenpark                 machinerie                maquinaria              maquinaria                          الات
          magical                  magisch                    magique                    mágico                  mágico                          سحري
         magnetic               magnetisch                 magnétique                 magnético               magnético                      مغناطيسي
      magnificent                großartig                 magnifique                 magnífico               magnífico                          رائع
        magnitude            Größenordnung          ordre de grandeur                  magnitud               magnitude                         ضخامة
         mainland                 Festland                  continent                continente              continente                  البر الرئيسى
       mainstream               Mainstream           courant dominant              convencional            convencional                        التيار
      maintenance             unterhaltung                maintenance             mantenimiento              manutenção                   اعمال صيانة
          mandate                   mandat                     mandat                   mandato                 mandato                      امر رسمى
        mandatory            obligatorisch                obligatoire               obligatorio         obrigatoriedade                        إلزامي
         manifest            manifestieren                  manifeste                manifiesto               manifesto                         قائمة
       manipulate             manipulieren                  manipuler                 manipular               manipular                        معالجة
     manipulation             Manipulation               manipulation              manipulación             manipulação                       بمعالجة
       manuscript               Manuskript                  manuscrit                manuscrito              manuscrito                        مخطوطة
            march                     März                       Mars                    marcha                   março                          مارس
         marginal                 marginal                   marginal                  marginal                marginal                          هامش
           marine                   marine                      Marin                    marina                 marinho                       البحرية
      marketplace               marktplatz                     marché                   mercado                 Mercado                        المتجر
             mask                    Maske                     masque                mascarilla                mascarar                          قناع
         massacre                 Massaker                   massacre                   masacre                massacre                         مذبحة
     mathematical             mathematisch               mathématique                matemático              matemático                         رياضي
           mature                   reifen                     mature                    maduro                  maduro                         ناضجة
         maximize               maximieren                  maximiser                 maximizar               maximizar                تحقيق أقصى قدر
       meaningful                 sinnvoll              significative             significativo           significativo                       ذو معنى
         meantime               inzwischen                entre temps            mientras tanto              entretanto                      غضون ذلك
         medieval          mittelalterlich                   médiéval                  medieval                medieval              من القرون الوسطى
       meditation               Meditation                 méditation                meditación               meditação                          تأمل
           melody                  Melodie                    mélodie                   melodía                 melodia                           لحن
             memo                     Memo                       note                memorándum               memorando                         مذكرة
           memoir                 Memoiren                    mémoire                   memoria       livro de memórias                        مذكرات
         memorial             Gedenkstätte                   Mémorial                 monumento                memorial                النصب التذكاري
           mentor                   Mentor                     mentor                    mentor                  mentor                          مرشد
         merchant                 Kaufmann                  marchande               comerciante             comerciante                          تاجر
            mercy           Barmherzigkeit                miséricorde              misericordia            misericórdia                          رحمة
             mere                      nur                      Suite                       más                    mais                          أكثر
           merely                lediglich                  seulement                 meramente                  apenas                       مُجَرّد
            merge              fusionieren                  fusionner                      unir                  fundir                           دمج
           merger                   Fusion               fusionnement                    fusión                   fusão                      الاندماج
            merit                Verdienst                     mérite                    mérito                  mérito                          ميزة
      methodology                 Methodik               méthodologie               metodología             metodologia                      المنهجية
            midst                    mitte                     milieu                     medio                    meio                           وسط
        migration                Migration                  migration                 migración                migração                        الهجرة
         militant                 militant                   militant                 militante               militante                         مناضل
          militia                    Miliz                     milice                   milicia                 milícia                       ميليشيا
             mill                    Mühle                     moulin                    molino                  moinho                         مطحنة
          minimal                  minimal                    minimal                    mínimo                  mínimo                   الحد الأدنى
         minimize               minimieren                  minimiser                 minimizar               minimizar                           قلل
           mining                  Bergbau       exploitation minière                   minería               mineração                       التعدين
         ministry              Ministerium                  ministère                ministerio              ministério                       الوزارة
           minute                   Minute                     minute                    minuto                  minuto                        اللحظة
          miracle                   Wunder                    miracle                   milagro                 milagre                         معجزة
           misery                    Elend                     misère                   miseria                 miséria                           بؤس
       misleading              Irreführung                   trompeur                  engañoso                 errôneo                          مضلل
          missile                   Rakete                    missile                     misil                  míssil                         صاروخ
              mob                      Mob                 la douleur                     dolor                     dor                           الم
           mobile                    mobil                   portable                     móvil                   Móvel              التليفون المحمول
         mobility                Mobilität                   mobilité                 movilidad              mobilidade                إمكانية التنقل
         mobilize             mobilisieren                  mobiliser                 movilizar               mobilizar                           حشد
         moderate                  moderat                     modéré                  moderado                moderado                         معتدل
     modification                 Änderung               modification              modificación             modificação                         تعديل
           module                    Modul                     module                    módulo                  módulo                          وحدة
         momentum                  Schwung                       élan                   impulso                 impulso                     قوة الدفع
             monk                    Mönch                      moine                     monje                   monge                          راهب
         monopoly                  Monopol                   monopole                 monopolio               Monopólio                        احتكار
         morality                    Moral                   moralité                 moralidad              moralidade                       الأخلاق
           motive                    Motiv                      motif                    motivo                  motivo                        الدافع
        municipal                 kommunal                  municipal                 municipal               municipal                       البلدية
           mutual             gegenseitige                     mutuel                    mutual                   mútuo                         مشترك
           namely                  nämlich                   à savoir                   a saber            nomeadamente                          يسمى
       nationwide               landesweit      à l'échelle nationale         a escala nacional                nacional             على الصعيد الوطني
            naval                   Marine                      naval                     naval                   naval                       البحرية
          neglect         Vernachlässigung              la négligence               negligencia             negligência                          أهمل
      neighboring               benachbart                     voisin                    vecino                 vizinho                      المجاورة
             nest                     Nest                        nid                      nido                   ninho                            عش
              net                     Netz                  rapporter                       red                internet                          صافي
       newsletter               Newsletter                   bulletin       Boletin informativo     Boletim de Notícias              النشرة الإخبارية
            niche                   nische                      niche                     nicho                   nicho                          تخصص
            noble                     edel                      noble                     noble                   nobre                        النبيل
              nod                   nicken                  hochement                   asentir      aceno com a cabeça                        إيماءة
         nominate               nominieren                   désigner                   nombrar                  nomear                          ترشح
       nomination              Nominierung                 nomination                nominación                nomeação                         ترشيح
          nominee               nominieren                   candidat                 candidato               candidato                          مرشح
      nonetheless         nichtsdestotrotz                  néanmoins               sin embargo            Não obstante                       ومع ذلك
        nonprofit             Gemeinnützig               non lucratif        sin ánimo de lucro     sem fins lucrativos                     غير ربحية
         nonsense                   Unsinn                  absurdité                disparates                 Absurdo                     كلام فارغ
             noon                   Mittag                       midi                  mediodía                meio-dia                   وقت الظهيرة
          notable            bemerkenswert                    notable                   Incapaz                 notável                        ملحوظة
          notably            bemerkenswert                  notamment              notablemente            notavelmente                    بشكل ملحوظ
           notify                   melden                   notifier                 notificar               notificar                          يخطر
        notorious       berühmt-berüchtigt                    célèbre                   notorio                 notório                   سيئة السمعة
            novel                    Roman                      roman                    novela                  novela                         رواية
          nursery             Kinderzimmer                   garderie                 guardería                berçário                         حضانة
        objection                Einspruch                  objection                  objeción                 objeção                        اعتراض
           oblige             verpflichten                     oblige                   obligar                 obrigar                          تجبر
           obsess             Besessenheit                    obséder                obsesionar                obcecado                           هوس
        obsession             Besessenheit                  obsession                  obsesión                obsessão                           هوس
       occasional             gelegentlich                occasionnel                 ocasional               ocasional                          عرضي
       occurrence                Vorkommen                 occurrence                ocurrencia              ocorrência                         حادثة
             odds                   Quoten                    chances             posibilidades                 chances                        احتمال
         offering                  Angebot                      offre              ofrecimiento                  oferta                           عرض
        offspring         Nachkommenschaft                progéniture              descendencia                  filhos                         النسل
      operational              betrieblich               opérationnel               Operacional             operacional                       التشغيل
              opt                      opt                      opter                     optar                   optar                   يختار، يقرر
          optical                  optisch                    optique                    óptico                  óptico                          بصري
         optimism               Optimismus                  optimisme                 optimismo                otimismo                       التفاؤل
             oral                 mündlich                       oral                      oral                    oral                  عن طريق الفم
   organizational          organisatorisch            organisationnel              organizativo          organizacional                     التنظيمية
      orientation             Orientierung                orientation               orientación              orientação                         اتجاه
        originate                entstehen                   provenir                  originar                originar                          تنشأ
         outbreak                 Ausbruch                   épidémie                     brote                   surto                        التفشي
           outing                   Outing                     sortie                 excursión                 passeio                          نزهة
           outlet                  Ausgang                     sortie         toma de corriente                  tomada                          مخرج
          outlook                 Ausblick               perspectives                  panorama                panorama                        الآفاق
          outrage                 Empörung                    outrage               Indignacion                 ultraje                         الغضب
         outsider              Außenseiter                   outsider                 forastero              forasteiro                          دخيل
         overlook                übersehen                   négliger            pasar por alto            negligenciar                           تطل
           overly                übermäßig                       trop                 demasiado          excessivamente                          مفرط
          oversee              überblicken                 superviser                supervisar                  vigiar                      يشرف على
         overturn                 umstoßen                  renverser                    anular             reviravolta                        انقلاب
        overwhelm             überwältigen                  submerger                   abrumar              Sobrecarga                           طغى
     overwhelming             überwältigen                  accablant                 agobiante            muito pesado                          ساحق
              pad                auffüllen                     tampon               almohadilla                almofada                         ضمادة
        parameter                Parameter                  paramètre                 parámetro               parâmetro                         معامل
         parental               elterliche                   parental             de los padres                parental                          أبوي
       parliament                Parlament                  parlement                parlamento              parlamento                      البرلمان
          partial                teilweise                    partiel                   parcial                 parcial                          جزئي
        partially                teilweise              partiellement              parcialmente            parcialmente                         جزئيا
          passing                   vorbei                  qui passe                      paso                passagem                         عابرة
          passive                   passiv                     passif                    pasivo                 passiva                          سلبي
           pastor                  Pfarrer                    pasteur                    pastor                  pastor                          القس
           patent                   Patent                     brevet                  patentar                 patente                براءة الإختراع
          pathway                      Weg                    sentier                      ruta                 caminho                          مسار
           patrol               Patrouille                 patrouille                  patrulla                patrulha                         دورية
           patron             Schutzpatron                     patron                    patrón                 patrono                          كفيل
             peak                   Spitze                  de pointe                      cima                    pico                           قمة
          peasant                bäuerlich                     paysan                 campesino                camponês                          فلاح
         peculiar               eigenartig                particulier                  peculiar                peculiar               غَيْرُ مَأْلُوف
          pension                    Rente                    Pension                   pensión                  pensão                    راتب تقاعد
          persist                 beharren                  persister                 persistir               persistir                          ثابر
       persistent               beharrlich                 persistant               persistente             persistente                         مثابر
        personnel                 Personal                  personnel                  personal                 pessoal                 شؤون الموظفين
         petition                 Petition                   pétition                  petición                 petição                        التماس
      philosopher                Philosoph                 philosophe                  filósofo                filósofo                        فيلسوف
    philosophical            philosophisch              philosophique                filosófico              filosófico                         فلسفي
          pioneer                  Pionier                   pionnier                   pionero                pioneiro                          رائد
         pipeline                 Pipeline                   pipeline                   tubería                gasoduto                     خط انابيب
           pirate                    Pirat                     pirate                    pirata                  pirata                       القرصان
              pit                    Grube                      fosse                      fosa                    opor                          حفرة
             plea                 Plädoyer                  plaidoyer                  petición                declarar                          نداء
            plead                plädieren                    plaider                    alegar                pleitear                       الترافع
           pledge              versprechen                       gage                   promesa             compromisso                         يتعهد
             plug                  stopfen           prise de courant                  enchufar                  plugue                   قابس كهرباء
           plunge               eintauchen                    plonger                 inmersión                mergulho                          يغرق
             pole                   Stange               il n'y a pas                    no hay                  não há                       لا يوجد
             poll                  Umfrage                    sondage                  encuesta                 votação                         تصويت
             pond                    Teich                      étang                  estanque                    lago                      بركة ماء
              pop                      Pop                  populaire                 estallido                     pop                         البوب
        portfolio                    Mappe               portefeuille                portafolio               portfólio                        مَلَفّ
          portray             porträtieren                représenter                  retratar                retratar                         تصوير
         postpone              verschieben                   reporter                  posponer                   adiar                          يؤجل
          postwar                Nachkrieg            après la guerre           de la posguerra              pós-guerra                     بعد الحرب
     practitioner                Praktiker                  praticien               facultativo              praticante                  ممارس المهنة
           preach                 predigen                    prêcher                  predicar                  pregar                           تعظ
        precedent            Präzedenzfall                  précédent                precedente              precedente                         سابقة
        precision                Präzision                  précision                 precisión                precisão                       الاحكام
         predator                 Raubtier                  prédateur                depredador                predador                       المفترس
      predecessor                Vorgänger               prédécesseur                predecesor              antecessor                         السلف
    predominantly              überwiegend             principalement         predominantemente       predominantemente                     في الغالب
        pregnancy          Schwangerschaft                  grossesse               el embarazo                gravidez                           حمل
        prejudice                Vorurteil                  préjudice                 prejuicio             preconceito                          تعصب
      preliminary                vorläufig               préliminaire                preliminar            preliminares                         أولية
          premier                 Erstmals                    premier           primer ministro       primeiro-ministro                       الرائدة
          premise                 Prämisse                   prémisse                   premisa                premissa                         فرضية
          premium                   Prämie                      prime        de primera calidad                  Prêmio                      الممتازة
        prescribe             verschreiben                  prescrire                prescribir              prescrever                          وصفة
     prescription          rezeptpflichtig               prescription              prescripción              prescrição                     وصفة طبية
        presently              gegenwärtig               présentement                     ahora              atualmente                         حاليا
     preservation                Erhaltung               préservation              preservación             preservação                         الحفظ
          preside                  vorsitz                   présider                   preside                presidir                         رئاسة
       presidency          präsidentschaft                 présidence               presidencia             presidência                         رئاسة
      prestigious         prestigeträchtig                prestigieux               prestigioso             Prestigiado                        مرموقة
       presumably               Vermutlich               probablement           presumiblemente         presumivelmente                         محتمل
          presume                 vermuten                   présumer                  presumir                presumir                         افترض
          prevail             vorherrschen                  prévaloir                prevalecer              prevalecer                          تسود
       prevalence                Prävalenz                 prévalence                predominio             prevalência                        انتشار
       prevention               Vorbeugung              la prévention                prevención               prevenção                           منع
             prey                    Beute                      proie                     presa                   presa                          ضحية
    privatization           Privatisierung              privatisation             privatización            privatização                       الخصخصة
        privilege                 Privileg                  privilège                privilegio              privilégio                           شرف
            probe             Untersuchung                      sonde             Investigacion                   sonda                         مسبار
      problematic            problematisch              problématique              problemático            problemático                       إشكالية
       proceeding                Verfahren                   procéder                  proceder                processo                       الإجراء
         proceeds                   Erlöse                    produit                  producto                 produto                      العائدات
       processing              Bearbeitung              En traitement                Procesando        em processamento                  يتم المعالجة
        processor               Bearbeiter                 processeur                procesador             processador                       المعالج
         proclaim                verkünden                  proclamer                 proclamar               proclamar                          يعلن
       productive                produktiv                  productif                productivo               produtivo                        إنتاجي
     productivity            Produktivität               productivité             productividad           produtividade                       إنتاجية
       profitable               profitabel                   rentable                  rentable                rentável                          مربح
         profound              tiefgründig                    profond                  profundo                profundo                          عميق
       projection               Projektion                 projection                proyección                projeção                          تنبؤ
        prominent             herausragend                    éminent                prominente             proeminente                          بارز
       pronounced               ausgeprägt                   prononcé               pronunciado             pronunciado                          واضح
       propaganda               Propaganda              la propagande                propaganda              propaganda                         دعاية
      proposition                Vorschlag                proposition               proposición              proposição                        اقتراح
        prosecute               Verfolgung                 poursuivre                 enjuiciar               processar                        محاكمة
      prosecution       Staatsanwaltschaft                  poursuite            enjuiciamiento                acusação             الملاحقة القضائية
       prosecutor             Staatsanwalt                  procureur                    fiscal                promotor                  المدعي العام
      prospective               prospektiv                   éventuel                    futuro             prospectivo                         مأمول
       prosperity                Wohlstand                 prospérité               prosperidad            prosperidade                        ازدهار
       protective                   Schutz                 protecteur                 protector                protetor                          محمي
         protocol                Protokoll                  protocole                 protocolo               protocolo                      بروتوكول
         province                  Provinz                   Province                 provincia               província                      المحافظة
       provincial                  Provinz                 provincial                provincial              provincial                          ريفي
        provision               Versorgung                disposition               disposición              disposição                         تقديم
          provoke              provozieren                  provoquer                  provocar                provocar                         يستفز
      psychiatric              Psychiatrie              psychiatrique              psiquiátrico            psiquiátrico                         نفسية
            pulse                     Puls                  impulsion                 legumbres                   pulso                           نبض
             pump                   pumpen                      pompe                     bomba                 bombear                          مضخة
            punch                  stanzen              coup de poing                  puñetazo                    soco                          لكمة
            query                 abfragen                    requête                  consulta                consulta                       استفسار
            quest                    Suche                      quête                  búsqueda                   busca                           بحث
            quota                    Quote                      quota                     cuota             contingente                     حصة نسبية
            radar                    Radar                      radar                     Radar                   radar                         رادار
          radical                  Radikal                    radical                   radical                 radical                         أصولي
             rage                      Wut                       rage                     rabia                   fúria                           غضب
             raid                   Razzia                       raid                    Redada                  ataque                          غارة
            rally                   rallye                 se rallier                   reunión                 corrida                          تجمع
          ranking                Rangliste                 classement             clasificación           classificação                         تصنيف
             rape           Vergewaltigung                       râpé                 violación                 estupro                        اغتصاب
            ratio               Verhältnis                    rapport                  relación                   Razão                          نسبة
         rational                 rational                  rationnel                  racional                racional                         معقول
              ray                      ray                      rayon                      rayo                    raio                          شعاع
          readily                   leicht                 facilement                fácilmente             prontamente                        بسهولة
      realization             realisierung          la concrétisation               realización              realização                         ادراك
            realm                  bereich                    royaume                     reino                   reino                         مملكة
             rear                Rückseite                    arrière                   trasero                traseira                         مؤخرة
        reasoning            Argumentation               raisonnement              razonamiento              raciocínio                          منطق
         reassure                beruhigen                   rassurer              tranquilizar            tranquilizar                          طمأن
            rebel              rebellieren                    rebelle                   rebelde                 rebelde                       المتمرد
        rebellion                Rebellion                  rébellion                  rebelión                rebelião                          تمرد
        recipient                Empfänger               destinataire                recipiente            destinatário                         متلقي
   reconstruction             Wiederaufbau             reconstruction            reconstrucción            reconstrução                 إعادة الإعمار
          recount               nachzählen                   raconter                  recuento              recontagem                           حكى
